layer,dataset,column,dtype,role,owner,definition,business_use
output,unit_economics_channel_diagnostics,payback_mature_customer_share,float64,metric,Analytics Lead,Payback-mature customers divided by all customers acquired in the channel.,Coverage indicator for the channel payback estimate.
output,unit_economics_channel_diagnostics,payback_mature_customers,int64,metric,Analytics Lead,"Acquired customers observable through the full payback horizon, including zero-transaction customers.",Denominator and evidence volume for the empirical contribution curve.
output,unit_economics_channel_diagnostics,payback_status,object,dimension,Analytics Lead,"Payback outcome: recovered, not_recovered, or insufficient_maturity.",Distinguishes observed recovery from right-censoring and unavailable evidence.
output,unit_economics_channel_diagnostics,total_channel_contribution_margin,float64,metric,Analytics Lead,Observed contribution margin summed within an acquisition channel.,Scenario baseline reconciliation.
output,unit_economics_channel_diagnostics,total_spend,float64,metric,Analytics Lead,Sum of marketing spend over the grouping window.,CAC denominator input.
processed,cohort_table,activity_month,object,temporal,Analytics Engineering,"Calendar month evaluated for the cohort, including zero-activity months.",Cohort activity and retention curve x-axis.
processed,cohort_table,average_revenue_per_active_customer,float64,metric,Analytics Engineering,Cohort revenue divided by active customers.,Per-user revenue trajectory.
processed,cohort_table,cohort_month,object,temporal,Analytics Engineering,Signup month used as cohort key.,Cohort retention analysis.
processed,cohort_table,cohort_revenue,float64,metric,Analytics Engineering,Revenue generated by the cohort in the activity month.,Cohort retention numerator.
processed,cohort_table,cohort_size,int64,metric,Analytics Engineering,Distinct customers who signed up in the cohort month.,Denominator for activation and signup-cohort activity rates.
processed,cohort_table,customers_active,int64,metric,Analytics Engineering,Distinct cohort members with a transaction in the evaluated activity month.,"Signup-cohort activity numerator, including late activations."
processed,cohort_table,late_activation_customers,int64,metric,Analytics Engineering,Active customers in the evaluated month who were not active in month 0.,Separates post-signup activation from retention of the month-0 baseline.
processed,cohort_table,month_0_activation_rate,float64,metric,Analytics Engineering,Month-0 active customers divided by the full signup cohort size.,Acquisition-to-activation quality at cohort entry.
processed,cohort_table,month_0_active_customers,int64,metric,Analytics Engineering,Distinct cohort members with a transaction in their signup month.,Fixed baseline population for retained-from-month-0 measurement.
processed,cohort_table,retained_from_month_0_rate,float64,metric,Analytics Engineering,Retained month-0 customers divided by month-0 active customers.,Like-for-like retention of the activated month-0 baseline.
processed,cohort_table,retained_month_0_customers,int64,metric,Analytics Engineering,Month-0 active customers who also transacted in the evaluated activity month.,Numerator for retained-from-month-0 activity.
processed,cohort_table,signup_activity_rate,float64,metric,Analytics Engineering,Customers active in the evaluated month divided by the full signup cohort size.,"Whole-cohort activity, including late activations and reactivations."
processed,customer_metrics,acquisition_channel,object,dimension,Analytics Engineering,Channel attributed to customer acquisition.,Unit economics and budget allocation.
processed,customer_metrics,avg_revenue_per_transaction,float64,metric,Analytics Engineering,Mean transaction revenue for the customer.,Ticket-size diagnostics.
processed,customer_metrics,contribution_margin,float64,metric,Analytics Engineering,Revenue minus direct cost.,Primary profitability measure.
processed,customer_metrics,contribution_margin_pct,float64,metric,Analytics Engineering,Contribution margin as share of revenue.,Margin quality signal.
processed,customer_metrics,customer_id,object,identifier,Analytics Engineering,Unique customer identifier.,Join key across customer and transaction views.
processed,customer_metrics,first_transaction_date,object,temporal,Analytics Engineering,First observed transaction for the customer.,Observed transaction-span start.
processed,customer_metrics,last_transaction_date,object,temporal,Analytics Engineering,Last observed transaction for the customer.,Observed transaction-span end.
processed,customer_metrics,region,object,dimension,Analytics Engineering,"Customer region (North America, EMEA, LATAM, APAC).",Geographic mix and regional profitability.
processed,customer_metrics,revenue_per_transaction_span_day,float64,metric,Analytics Engineering,Total revenue divided by inclusive observed transaction-span days.,Revenue intensity within the observed transaction window.
processed,customer_metrics,segment,object,dimension,Analytics Engineering,"Customer segment (Startup, SMB, Mid-Market, Enterprise).",Cross-cut for margin and retention diagnostics.
processed,customer_metrics,total_cost,float64,metric,Analytics Engineering,Sum of direct cost over the grouping window.,Margin measurement.
processed,customer_metrics,total_revenue,float64,metric,Analytics Engineering,Sum of revenue over the grouping window.,Top-line measurement.
processed,customer_metrics,transaction_count,int64,metric,Analytics Engineering,Number of transactions in the grouping.,Volume measure.
processed,customer_metrics,transaction_span_days,int64,metric,Analytics Engineering,"Inclusive days from first to last observed transaction, or zero without transactions.",Descriptive transaction-window length; not customer tenure.
processed,unit_economics,CAC,float64,metric,Analytics Engineering,Channel marketing spend divided by customers acquired.,Channel efficiency.
processed,unit_economics,LTV_to_CAC,float64,metric,Analytics Engineering,Average observed LTV divided by CAC.,Scaling guardrail.
processed,unit_economics,acquisition_channel,object,dimension,Analytics Engineering,Channel attributed to customer acquisition.,Unit economics and budget allocation.
processed,unit_economics,approximate_payback_period,float64,metric,Analytics Engineering,Earliest acquisition-age month when cumulative contribution per mature customer reaches CAC.,Empirical CAC recovery timing; null when maturity is insufficient or CAC is not recovered.
processed,unit_economics,average_LTV,float64,metric,Analytics Engineering,Mean contribution margin per acquired customer.,Value side of LTV/CAC.
processed,unit_economics,customers_acquired,int64,metric,Analytics Engineering,Customers whose signup falls in the period.,CAC denominator.
processed,unit_economics,median_LTV,float64,metric,Analytics Engineering,Median contribution margin per acquired customer.,Skew-robust value check.
processed,unit_economics,payback_acquisition_end,object,dimension,Analytics Engineering,Last signup date represented in the mature payback subset.,End of the payback CAC alignment window.
processed,unit_economics,payback_acquisition_start,object,dimension,Analytics Engineering,First signup date represented in the mature payback subset.,Start of the payback CAC alignment window.
processed,unit_economics,payback_aligned_spend,float64,metric,Analytics Engineering,Channel spend between the first and last signup dates of the mature payback subset.,Spend basis for maturity-aligned payback CAC.
processed,unit_economics,payback_cac,float64,metric,Analytics Engineering,Spend in the mature cohort acquisition window divided by mature acquired customers.,Time-aligned recovery threshold for empirical payback.
processed,unit_economics,payback_horizon_contribution_per_customer,float64,metric,Analytics Engineering,Cumulative contribution through the payback horizon divided by mature acquired customers.,"Recovery evidence at the censoring boundary, including zero-transaction customers."
processed,unit_economics,payback_horizon_months,int64,metric,Analytics Engineering,Latest acquisition-age month evaluated in the empirical contribution curve.,Defines the recovery window and customer-maturity requirement.
processed,unit_economics,payback_is_censored,bool,boolean,Analytics Engineering,True when CAC was not recovered within the governed payback horizon.,Prevents a null recovery month from being interpreted as missing at random.
processed,unit_economics,payback_mature_customer_share,float64,metric,Analytics Engineering,Payback-mature customers divided by all customers acquired in the channel.,Coverage indicator for the channel payback estimate.
processed,unit_economics,payback_mature_customers,int64,metric,Analytics Engineering,"Acquired customers observable through the full payback horizon, including zero-transaction customers.",Denominator and evidence volume for the empirical contribution curve.
processed,unit_economics,payback_status,object,dimension,Analytics Engineering,"Payback outcome: recovered, not_recovered, or insufficient_maturity.",Distinguishes observed recovery from right-censoring and unavailable evidence.
processed,unit_economics,total_channel_contribution_margin,float64,metric,Analytics Engineering,Observed contribution margin summed within an acquisition channel.,Scenario baseline reconciliation.
processed,unit_economics,total_spend,float64,metric,Analytics Engineering,Sum of marketing spend over the grouping window.,CAC denominator input.
raw,customers,acquisition_channel,object,dimension,Data Engineering,Channel attributed to customer acquisition.,Unit economics and budget allocation.
raw,customers,customer_id,object,identifier,Data Engineering,Unique customer identifier.,Join key across customer and transaction views.
raw,customers,region,object,dimension,Data Engineering,"Customer region (North America, EMEA, LATAM, APAC).",Geographic mix and regional profitability.
raw,customers,segment,object,dimension,Data Engineering,"Customer segment (Startup, SMB, Mid-Market, Enterprise).",Cross-cut for margin and retention diagnostics.
raw,customers,signup_date,object,temporal,Data Engineering,Date the customer first signed up.,Cohort assignment.
raw,marketing_experiments,acquisition_channel,object,dimension,Data Engineering,Channel attributed to customer acquisition.,Unit economics and budget allocation.
raw,marketing_experiments,assigned_date,object,temporal,Data Engineering,Date a customer entered a randomized experiment arm.,Experiment exposure and outcome-window governance.
raw,marketing_experiments,assignment,object,dimension,Data Engineering,"Randomized control, treatment, or governed price assignment for the intervention.",Causal contrast definition.
raw,marketing_experiments,converted,bool,boolean,Data Engineering,Whether the assigned customer converted inside the governed outcome window.,Randomized conversion-lift estimation.
raw,marketing_experiments,customer_id,object,identifier,Data Engineering,Unique customer identifier.,Join key across customer and transaction views.
raw,marketing_experiments,experiment_id,object,identifier,Data Engineering,Stable identifier for a randomized marketing holdout.,Experiment-level balance and lift estimation.
raw,marketing_experiments,observed_contribution,float64,metric,Data Engineering,Contribution observed inside the fixed experiment outcome window.,Randomized incremental-contribution estimation.
raw,marketing_experiments,outcome_window_days,int64,metric,Data Engineering,Fixed post-assignment days included in experiment outcomes.,Comparable treatment and control measurement.
raw,marketing_experiments,pre_period_contribution,float64,metric,Data Engineering,Contribution observed before assignment and excluded from the outcome.,CUPED variance reduction without post-treatment leakage.
raw,marketing_spend,acquisition_channel,object,dimension,Data Engineering,Channel attributed to customer acquisition.,Unit economics and budget allocation.
raw,marketing_spend,date,object,temporal,Data Engineering,Calendar date.,Time-series aggregation.
raw,marketing_spend,spend,float64,metric,Data Engineering,Marketing spend recorded for the day and channel.,CAC and channel ROI.
raw,marketing_touchpoints,acquisition_channel,object,dimension,Data Engineering,Channel attributed to customer acquisition.,Unit economics and budget allocation.
raw,marketing_touchpoints,customer_id,object,identifier,Data Engineering,Unique customer identifier.,Join key across customer and transaction views.
raw,marketing_touchpoints,is_conversion_touch,bool,boolean,Data Engineering,True for the final governed touchpoint before signup.,Journey integrity and last-touch identification.
raw,marketing_touchpoints,touchpoint_date,object,temporal,Data Engineering,Date of a privacy-minimal marketing interaction before signup.,Journey ordering without storing contact details.
raw,marketing_touchpoints,touchpoint_id,object,identifier,Data Engineering,Unique identifier for a governed pre-signup marketing interaction.,Journey ordering and attribution reconciliation.
raw,marketing_touchpoints,touchpoint_order,int64,metric,Data Engineering,One-based chronological position of a touchpoint in a customer journey.,Position-based attribution weight assignment.
raw,pricing_interventions,assignment,object,dimension,Data Engineering,"Randomized control, treatment, or governed price assignment for the intervention.",Causal contrast definition.
raw,pricing_interventions,contribution_margin,float64,metric,Data Engineering,Revenue minus direct cost.,Primary profitability measure.
raw,pricing_interventions,intervention_id,object,identifier,Data Engineering,Unique identifier for a randomized weekly pricing cell.,Intervention-grain uniqueness and auditability.
raw,pricing_interventions,observed_price,float64,metric,Data Engineering,Price actually assigned in the randomized pricing cell.,Elasticity regressor within the tested range.
raw,pricing_interventions,product_type,object,dimension,Data Engineering,Product line for the transaction.,Product mix and profitability analysis.
raw,pricing_interventions,reference_price,float64,metric,Data Engineering,Control price assigned to the product before the randomized multiplier.,Price-index construction and intervention validation.
raw,pricing_interventions,region,object,dimension,Data Engineering,"Customer region (North America, EMEA, LATAM, APAC).",Geographic mix and regional profitability.
raw,pricing_interventions,revenue,float64,metric,Data Engineering,Gross revenue booked on the transaction.,Top-line growth and mix.
raw,pricing_interventions,units_sold,int64,metric,Data Engineering,Units observed in the product-region-week intervention cell.,Demand outcome for elasticity estimation.
raw,pricing_interventions,week_start,object,dimension,Data Engineering,Monday starting the randomized pricing measurement week.,Pricing-panel time index and fixed effects.
raw,transactions,cost,float64,metric,Data Engineering,Direct delivery cost linked to the transaction.,Contribution margin and unit economics.
raw,transactions,customer_id,object,identifier,Data Engineering,Unique customer identifier.,Join key across customer and transaction views.
raw,transactions,product_type,object,dimension,Data Engineering,Product line for the transaction.,Product mix and profitability analysis.
raw,transactions,revenue,float64,metric,Data Engineering,Gross revenue booked on the transaction.,Top-line growth and mix.
raw,transactions,transaction_date,object,temporal,Data Engineering,Date the transaction occurred.,Time-series aggregation.
raw,transactions,transaction_id,object,identifier,Data Engineering,Unique transaction identifier.,Duplicate control on transactional facts.
